bed,row,col,Unique.ID,Li600,Genotype,Type
F ,42,B ,1924,265,WV,Parent
F ,43,A ,1959,NA,YO11,Parent
F ,43,B ,2285,266,(WL2 x TM2) x (TM2),F2
F ,44,A ,2214,267,(WL2 x BH) x (WL2 x TM2),F2
F ,44,B ,2570,N.A ,(WV x WL2) x (WL2 x CC),F2
F ,45,A ,1871,268,WL2,Parent
F ,45,B ,2290,269,(WL2 x TM2) x (WL2 x BH),F2
F ,4,C ,2349,270,(WV x WL2) x (WL2 x BH),F2
F ,4,D ,2482,NA,LV1 x WL2,F1
F ,5,C ,1688,NA,SQ3,Parent
F ,5,D ,2497,271,(LV1 x WL2) x (YO11 x WL2),F2
F ,6,D ,565,NA,TM2,Parent
F ,7,C ,2002,NA,TM2 x WL2,F1
F ,7,D ,2117,NA,(SQ3 x WL2) x (WL2),F2
F ,8,D ,2267,272,(WL2 x TM2) x (TM2),F2
F ,9,C ,2087,273,(LV1 x WL2) x (WL2),F2
F ,9,D ,2195,274,(WL2 x BH) x (WL2 x CC),F2
F ,10,C ,2189,NA,(WL2 x BH) x (CC x WL2),F2
F ,10,D ,2474,275,BH x WL2,F1
F ,11,C ,2281,276,(WL2 x TM2) x (TM2),F2
F ,11,D ,2511,277,(WL2 x BH) x (WL2 x CC),F2
F ,12,C ,2246,278,(WL2 x TM2) x (TM2),F2
F ,14,C ,2404,279,WL1,Parent
F ,15,C ,2334,NA,(WV x TM2) x (TM2 x WL2),F2
F ,15,D ,2371,NA,(WV x WL2) x (WV),F2
F ,16,C ,2294,281,(WL2 x TM2) x (WV x WL2),F2
F ,16,D ,2126,282,(TM2 x WL2) x (TM2 x BH),F2
F ,17,C ,1771,NA,TM2,Parent
F ,18,C ,2298,283,(WL2 x WV) x (CC x WL2),F2
F ,18,D ,64,NA,(LV1 x WL2) x (WL2),F2
F ,19,C ,2167,284,(TM2 x WL2) x (WL2 x DPR),F2
F ,19,D ,2506,NA,(TM2) x (TM2 x WL2),F2
F ,20,C ,2262,NA,(WL2 x TM2) x (TM2),F2
F ,20,D ,381,NA,(TM2 x WL2) x (YO11 x WL2),F2
F ,21,c ,1869,WA ,WL2,Parent
F ,22,D ,2443,285,(LV1 x WL2) x (WL2),F2
F ,23,D ,1843,NA,WL2,Parent
F ,24,D ,2629,NA,WV,Parent
F ,25,C ,2545,286,(WL2 x WV) x (CC x WL2),F2
F ,26,C ,2139,287,(TM2 x WL2) x (TM2),F2
F ,26,D ,2587,NA,(DPR x TM2) x (TM2 x WL2),F2
F ,27,C ,2016,NA,WL2 x DPR,F1
F ,27,D ,1914,NA,WL2,Parent
F ,28,C ,2438,NA,(CC x WL2) x (WL2),F2
F ,28,D ,2003,NA,TM2 x WL2,F1
F ,40,C ,1983,NH ,LV1 x WL2,F1
F ,40,D ,2529,288,(WL2 x BH) x (WL2 x CC),F2
F ,41,C ,1693,289,SQ3,Parent
F ,41,D ,314,NA,(TM2 x WL2) x (SQ3 x WL2),F2
F ,42,C ,2013,290,WL2 x CC,F1
F ,42,D ,2315,291,(WL2) x (WL2 x BH),F2
F ,43,C ,2401,NA,SQ3,Parent
F ,43,D ,1725,292,TM2,Parent
F ,44,D ,2140,NA,(TM2 x WL2) x (TM2),F2
F ,45,C ,2407,293,WL1,Parent
F ,45,D ,2546,NA,(WL2 x WV) x (CC x WL2),F2
G ,4,A ,2460,NA,(WL2) x (WL2 x TM2),F2
G ,4,B ,2053,294,WL2 x YO11,F1
G ,5,B ,2491,295,WL2 x WV,F1
G ,6,A ,2092,297,(SQ3 x WL2) x (WL2),F2
G ,6,B ,1604,298,BH,Parent
G ,7,A ,2335,NA,(WV x TM2) x (TM2 x WL2),F2
G ,7,B ,2351,299,(WV x WL2) x (WL2 x BH),F2
G ,8,B ,2112,NA,(SQ3 x WL2) x (WL2),F2
